iteration,sp_time_s,avg_moves,examples,train_loss,pol_loss,val_loss,iter_time_s
182,202.6,45.0,2595,0.9754,0.9724,0.0031,212.0
183,187.2,44.8,2454,0.9762,0.9734,0.0028,196.5
184,189.2,45.0,2457,0.9703,0.9673,0.0029,198.5
185,189.3,44.4,2580,0.9698,0.9672,0.0027,281.8
186,207.2,45.7,2596,0.9739,0.9710,0.0029,216.6
187,196.5,45.6,2474,0.9696,0.9669,0.0027,205.8
188,196.0,45.5,2634,0.9714,0.9684,0.0030,205.4
189,192.0,45.0,2576,0.9639,0.9611,0.0028,201.2
190,187.4,45.1,2459,0.9683,0.9652,0.0031,278.0
191,192.6,44.5,2573,0.9600,0.9573,0.0027,201.9
192,187.8,44.9,2545,0.9711,0.9685,0.0025,197.2
193,182.5,44.2,2440,0.9633,0.9606,0.0026,191.8
194,199.5,45.2,2605,0.9622,0.9594,0.0027,208.8
195,208.6,45.9,2627,0.9548,0.9522,0.0026,298.8
196,212.8,46.1,2695,0.9545,0.9518,0.0027,222.0
197,185.4,44.8,2539,0.9509,0.9481,0.0028,194.6
198,191.9,44.6,2567,0.9513,0.9487,0.0026,201.2
199,199.5,45.1,2562,0.9523,0.9498,0.0025,208.8
200,188.3,44.5,2535,0.9601,0.9576,0.0025,277.9
201,182.6,44.0,2388,0.9465,0.9439,0.0026,191.9
202,184.8,44.5,2565,0.9448,0.9423,0.0024,194.2
203,193.1,44.6,2502,0.9486,0.9460,0.0026,202.4
204,189.4,44.7,2474,0.9365,0.9337,0.0028,198.8
205,188.4,44.8,2530,0.9427,0.9401,0.0026,283.4
206,178.1,44.6,2385,0.9451,0.9425,0.0026,187.5
207,215.7,45.8,2600,0.9444,0.9417,0.0027,225.1
208,184.7,44.4,2471,0.9349,0.9322,0.0027,194.1
209,196.0,44.8,2581,0.9338,0.9308,0.0030,205.5
210,177.7,44.4,2378,0.9417,0.9387,0.0030,269.1
211,192.3,44.6,2454,0.9333,0.9307,0.0025,201.5
212,213.7,44.7,2541,0.9350,0.9322,0.0028,223.1
213,194.5,44.7,2624,0.9327,0.9299,0.0028,203.9
214,183.4,44.5,2459,0.9286,0.9260,0.0026,192.8
215,182.7,44.0,2473,0.9287,0.9260,0.0027,272.1
216,185.5,44.4,2487,0.9306,0.9279,0.0027,195.0
217,196.3,44.9,2508,0.9294,0.9270,0.0024,205.7
218,204.6,45.4,2598,0.9277,0.9250,0.0027,214.2
219,181.8,44.9,2466,0.9285,0.9255,0.0030,191.3
220,221.0,46.3,2662,0.9256,0.9228,0.0028,323.0
